name,partner_url,startup
.LUMEN,https://vivatechnology.com/partners/lumen,startup
4DIVISION,https://vivatechnology.com/partners/4division,startup
AI4IV SRL,https://vivatechnology.com/partners/ai4iv-srl,startup
"AIRECO CO., LTD",https://vivatechnology.com/partners/aireco-co-ltd,startup
ALATYR,https://vivatechnology.com/partners/alatyr,startup
ALLIANTECH,https://vivatechnology.com/partners/alliantech,startup
ALTYOR,https://vivatechnology.com/partners/altyor,startup
APREX,https://vivatechnology.com/partners/aprex,startup
AUTOKEYBO LIMITED,https://vivatechnology.com/partners/autokeybo-limited,startup
AWAREK,https://vivatechnology.com/partners/awarek,startup
BADDY PLUME,https://vivatechnology.com/partners/baddy-plume,startup
BIOM RESEARCH PROJECT,https://vivatechnology.com/partners/biom-research-project,startup
BLUE SMART ROBOTICS,https://vivatechnology.com/partners/blue-smart-robotics,startup
BOTRONICS,https://vivatechnology.com/partners/botronics,startup
CAPOOM,https://vivatechnology.com/partners/capoom,startup
CHEN KAI TECH,https://vivatechnology.com/partners/chen-kai-tech,startup
COR.SYNC,https://vivatechnology.com/partners/corsync,startup
CORBERAN PARTS,https://vivatechnology.com/partners/corberan-parts,startup
CSC ROBOTIC ENGINEERING LIMITED,https://vivatechnology.com/partners/csc-robotic-engineering-limited,startup
DENKWEIT GMBH,https://vivatechnology.com/partners/denkweit-gmbh,startup
DEUTSCHES FORSCHUNGSZENTRUM FÜR KÜNSTLICHE INTELLIGENZ DFKI,https://vivatechnology.com/partners/deutsches-forschungszentrum-fur-kunstliche-intelligenz-dfki,
DEVPOINT,https://vivatechnology.com/partners/devpoint,startup
DOTFLOW,https://vivatechnology.com/partners/dotflow,startup
EMOVO CARE,https://vivatechnology.com/partners/emovo-care,startup
ENTERPRISE ARMENIA,https://vivatechnology.com/partners/enterprise-armenia,startup
ERDE,https://vivatechnology.com/partners/erde,startup
EUROPEAN COMMISSION - DG CONNECT,https://vivatechnology.com/partners/european-commission-dg-connect,
EX9,https://vivatechnology.com/partners/ex9,startup
EXOSOME ANALYTICS,https://vivatechnology.com/partners/exosome-analytics,startup
EXPLORE MEDIA,https://vivatechnology.com/partners/explore-media,
EXWAYZ,https://vivatechnology.com/partners/exwayz,startup
FAACTOPI,https://vivatechnology.com/partners/faactopi,startup
FLYRENOV,https://vivatechnology.com/partners/flyrenov,startup
FRAUNHOFER-GESELLSCHAFT,https://vivatechnology.com/partners/fraunhofer-gesellschaft,
GENERAL ROBOTICS,https://vivatechnology.com/partners/general-robotics,startup
GOODBARBER,https://vivatechnology.com/partners/goodbarber,startup
GREEN COMMUNICATIONS,https://vivatechnology.com/partners/green-communications,startup
INBOLT,https://vivatechnology.com/partners/inbolt,startup
IRIDESENSE,https://vivatechnology.com/partners/iridesense,startup
JAPAN VILLAGE WITH 4 LOCAL GOVERNMENTS,https://vivatechnology.com/partners/japan-village-with-4-local-governments,
JAPET MEDICAL,https://vivatechnology.com/partners/japet-medical,startup
KALYSTA ACTUATION,https://vivatechnology.com/partners/kalysta-actuation,startup
LEARNING ROBOTS,https://vivatechnology.com/partners/learning-robots,startup
LEMO,https://vivatechnology.com/partners/lemo,
LIUM,https://vivatechnology.com/partners/lium,startup
LOTTECHNOLOGY,https://vivatechnology.com/partners/lottechnology,startup
LYNXDRONE,https://vivatechnology.com/partners/lynxdrone,startup
MAND.RO,https://vivatechnology.com/partners/mandro,startup
MORPHINGI INC.,https://vivatechnology.com/partners/morphingi-inc,startup
MOVALIFE MICROROBOTICS,https://vivatechnology.com/partners/movalife-microrobotics,startup
MX3D,https://vivatechnology.com/partners/mx3d,startup
MYNERVA,https://vivatechnology.com/partners/mynerva,startup
NEXT MODULAR VEHICLES,https://vivatechnology.com/partners/next-modular-vehicles,startup
NUSENSE,https://vivatechnology.com/partners/nusense,startup
OREYEON,https://vivatechnology.com/partners/oreyeon,startup
PHIGI,https://vivatechnology.com/partners/phigi,startup
PHOENIX-AI,https://vivatechnology.com/partners/phoenix-ai,startup
POLOGNE - POLISH INVESTMENT AND TRADE AGENCY - PAIH,https://vivatechnology.com/partners/pologne-polish-investment-and-trade-agency-paih,
RATP GROUP,https://vivatechnology.com/partners/ratp-group,
RÉGION NOUVELLE-AQUITAINE,https://vivatechnology.com/partners/region-nouvelle-aquitaine,
RENARDO,https://vivatechnology.com/partners/renardo,startup
RENEWABLES & COLOCATED BATTERIES,https://vivatechnology.com/partners/renewables-colocated-batteries,startup
RIGSTERS,https://vivatechnology.com/partners/rigsters,startup
ROB'OCC,https://vivatechnology.com/partners/robocc,startup
ROBOCORE TECHNOLOGY LIMITED,https://vivatechnology.com/partners/robocore-technology-limited,startup
SOMANITY,https://vivatechnology.com/partners/somanity,startup
SPEXAL,https://vivatechnology.com/partners/spexal,startup
